0.013,0.012,0.021,0.048,0.029,0.026,0.03,0.025,0.026,0.035,0.032,0.029,0.032,0.024,0.038,0.031,0.03,0.029,0.029,0.025,0.034,0.023,0.026,0.027,0.034,0.032,0.028,0.03,0.03,0.025,0.02,0.016,0.026,0.021,0.027,0.023,0.022,0.019,0.018,0.02,0.017,0.023,0.013,0.016,0.017,0.028,0.024,0.023,0.03,0.017,0.015,0.023,0.027,0.02,0.019,0.016,0.019,0.024,0.027,0.022,0.018,0.019,0.025,0.018,0.016,0.024,0.026,0.017,0.017,0.025,0.019,0.02,0.02,0.021,0.019,0.019,0.019,0.02,0.016,0.017,0.015,0.02,0.015,0.02,0.019,0.016,0.016,0.016,0.019,0.015,0.017,0.026,0.023,0.022,0.016,0.023,0.021,0.017,0.015,0.021
0.024,0.024,0.02,0.032,0.032,0.024,0.031,0.032,0.033,0.037,0.039,0.044,0.035,0.038,0.036,0.033,0.034,0.04,0.036,0.038,0.04,0.045,0.036,0.036,0.035,0.036,0.036,0.037,0.04,0.04,0.022,0.027,0.023,0.022,0.023,0.023,0.022,0.018,0.019,0.018,0.019,0.018,0.018,0.019,0.018,0.018,0.02,0.018,0.019,0.019,0.018,0.018,0.019,0.018,0.018,0.018,0.019,0.018,0.018,0.019,0.018,0.018,0.019,0.018,0.018,0.018,0.018,0.018,0.019,0.018,0.018,0.018,0.019,0.018,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.02,0.019,0.018,0.018,0.018,0.018,0.018,0.019,0.018,0.019,0.018,0.018
0.032,0.03,0.058,0.054,0.044,0.045,0.047,0.037,0.041,0.04,0.045,0.04,0.044,0.042,0.051,0.038,0.043,0.041,0.046,0.047,0.043,0.046,0.045,0.045,0.041,0.038,0.042,0.053,0.042,0.049,0.037,0.028,0.033,0.031,0.037,0.036,0.043,0.033,0.04,0.032,0.032,0.033,0.03,0.032,0.047,0.03,0.029,0.03,0.029,0.025,0.026,0.026,0.026,0.027,0.028,0.039,0.034,0.031,0.03,0.036,0.037,0.03,0.039,0.034,0.032,0.034,0.03,0.026,0.025,0.026,0.025,0.029,0.028,0.027,0.032,0.032,0.033,0.03,0.03,0.036,0.038,0.034,0.03,0.036,0.031,0.029,0.03,0.029,0.026,0.025,0.027,0.026,0.026,0.026,0.026,0.03,0.03,0.033,0.034,0.033
0.036,0.033,0.044,0.049,0.056,0.046,0.046,0.044,0.058,0.059,0.054,0.071,0.055,0.048,0.063,0.06,0.063,0.047,0.051,0.058,0.058,0.048,0.05,0.05,0.057,0.073,0.064,0.045,0.049,0.047,0.03,0.031,0.031,0.032,0.031,0.032,0.032,0.032,0.031,0.036,0.033,0.032,0.032,0.031,0.035,0.034,0.031,0.032,0.035,0.032,0.035,0.032,0.032,0.031,0.033,0.032,0.033,0.033,0.032,0.032,0.04,0.047,0.047,0.039,0.033,0.035,0.048,0.043,0.04,0.043,0.047,0.034,0.031,0.032,0.041,0.038,0.05,0.038,0.036,0.041,0.043,0.04,0.042,0.035,0.033,0.036,0.041,0.039,0.042,0.036,0.031,0.033,0.047,0.044,0.043,0.048,0.031,0.033,0.03,0.033
0.048,0.041,0.056,0.056,0.058,0.061,0.059,0.06,0.053,0.057,0.059,0.059,0.059,0.056,0.061,0.056,0.06,0.063,0.059,0.062,0.059,0.061,0.055,0.061,0.072,0.063,0.057,0.058,0.057,0.062,0.048,0.045,0.044,0.044,0.043,0.038,0.039,0.038,0.039,0.039,0.039,0.038,0.038,0.039,0.038,0.038,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.038,0.04,0.038,0.039,0.04,0.038,0.039,0.038,0.038,0.041,0.039,0.039,0.039,0.038,0.038,0.039,0.037,0.039,0.039,0.039,0.04,0.037,0.038,0.039,0.039,0.038,0.038,0.039,0.04,0.038,0.039,0.037,0.039,0.039,0.039,0.038,0.038,0.039,0.039,0.039,0.039,0.04,0.039,0.039,0.04,0.039,0.039
0.022,0.02,0.022,0.05,0.043,0.03,0.026,0.029,0.039,0.026,0.028,0.032,0.029,0.038,0.024,0.031,0.027,0.03,0.025,0.037,0.032,0.032,0.024,0.035,0.033,0.026,0.033,0.025,0.039,0.038,0.022,0.02,0.021,0.021,0.023,0.017,0.018,0.02,0.018,0.02,0.02,0.018,0.023,0.017,0.019,0.022,0.017,0.02,0.025,0.021,0.018,0.017,0.023,0.019,0.022,0.018,0.023,0.017,0.017,0.026,0.019,0.02,0.018,0.016,0.017,0.019,0.021,0.019,0.019,0.018,0.018,0.02,0.026,0.019,0.019,0.029,0.022,0.025,0.016,0.017,0.018,0.018,0.019,0.018,0.017,0.019,0.024,0.02,0.019,0.017,0.028,0.019,0.016,0.027,0.02,0.018,0.021,0.018,0.019,0.016
0.028,0.023,0.044,0.04,0.041,0.046,0.031,0.042,0.036,0.035,0.044,0.04,0.039,0.037,0.039,0.04,0.035,0.045,0.042,0.039,0.04,0.039,0.043,0.046,0.043,0.035,0.046,0.048,0.036,0.04,0.036,0.033,0.026,0.026,0.023,0.021,0.022,0.022,0.021,0.022,0.021,0.021,0.021,0.022,0.022,0.023,0.021,0.023,0.023,0.022,0.021,0.022,0.022,0.025,0.023,0.022,0.021,0.025,0.026,0.029,0.025,0.034,0.031,0.024,0.023,0.022,0.021,0.022,0.021,0.021,0.021,0.022,0.022,0.021,0.022,0.021,0.022,0.021,0.021,0.022,0.021,0.021,0.022,0.021,0.021,0.021,0.022,0.022,0.021,0.022,0.021,0.022,0.022,0.022,0.022,0.021,0.024,0.023,0.022,0.022
0.035,0.03,0.03,0.031,0.042,0.047,0.047,0.047,0.052,0.048,0.049,0.047,0.051,0.049,0.045,0.058,0.073,0.048,0.049,0.048,0.047,0.057,0.054,0.047,0.057,0.051,0.047,0.048,0.056,0.056,0.049,0.04,0.032,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.029,0.031,0.029,0.031,0.029,0.03,0.03,0.03,0.03,0.029,0.03,0.029,0.029,0.03,0.03,0.03,0.031,0.031,0.031,0.029,0.032,0.029,0.029,0.03,0.03,0.029,0.03,0.029,0.03,0.03,0.03,0.029,0.031,0.03,0.03,0.03,0.029,0.03,0.029,0.031,0.029,0.03,0.03,0.03,0.029,0.029,0.029,0.031,0.029,0.029,0.029,0.028,0.031,0.031,0.029,0.03,0.029,0.031,0.03
0.042,0.04,0.042,0.048,0.053,0.048,0.044,0.051,0.052,0.053,0.051,0.052,0.052,0.05,0.051,0.05,0.053,0.051,0.053,0.054,0.056,0.048,0.047,0.054,0.052,0.052,0.053,0.051,0.052,0.05,0.038,0.038,0.039,0.038,0.039,0.038,0.038,0.038,0.039,0.039,0.038,0.038,0.038,0.037,0.038,0.038,0.038,0.041,0.038,0.04,0.039,0.038,0.038,0.042,0.041,0.038,0.038,0.038,0.038,0.038,0.04,0.038,0.038,0.039,0.039,0.037,0.042,0.037,0.038,0.037,0.04,0.038,0.037,0.039,0.038,0.038,0.039,0.038,0.038,0.039,0.038,0.038,0.038,0.039,0.038,0.038,0.038,0.039,0.04,0.038,0.05,0.05,0.052,0.047,0.042,0.055,0.042,0.042,0.038,0.038
0.048,0.047,0.071,0.06,0.058,0.057,0.058,0.058,0.06,0.059,0.059,0.058,0.06,0.058,0.061,0.059,0.06,0.058,0.059,0.059,0.059,0.058,0.062,0.061,0.061,0.06,0.061,0.06,0.059,0.061,0.047,0.045,0.046,0.045,0.046,0.045,0.045,0.046,0.045,0.046,0.046,0.045,0.046,0.046,0.044,0.047,0.046,0.045,0.046,0.045,0.046,0.045,0.046,0.046,0.046,0.045,0.046,0.044,0.045,0.045,0.045,0.046,0.046,0.045,0.046,0.046,0.045,0.046,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.044,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.045,0.045,0.045,0.045,0.046,0.045,0.045,0.045,0.045,0.046,0.044,0.045,0.045,0.045,0.045
0.021,0.016,0.042,0.039,0.028,0.029,0.029,0.03,0.032,0.031,0.03,0.032,0.032,0.033,0.033,0.031,0.031,0.03,0.033,0.032,0.032,0.031,0.031,0.029,0.038,0.034,0.03,0.027,0.031,0.032,0.026,0.022,0.018,0.021,0.019,0.019,0.017,0.02,0.022,0.021,0.02,0.019,0.021,0.019,0.02,0.023,0.016,0.02,0.022,0.018,0.025,0.023,0.018,0.016,0.015,0.016,0.015,0.016,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.015,0.016,0.015,0.016,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.016,0.017,0.015,0.015,0.017,0.016,0.016,0.014,0.015,0.015,0.016,0.016,0.015,0.016,0.016,0.015,0.016,0.018,0.015,0.014,0.016,0.016
0.043000,0.027000,0.065000,0.035000,0.041000,0.044000,0.042000,0.053000,0.044000,0.043000,0.042000,0.042000,0.041000,0.039000,0.047000,0.043000,0.041000,0.042000,0.039000,0.049000,0.046000,0.046000,0.043000,0.044000,0.043000,0.044000,0.046000,0.045000,0.040000,0.044000,0.032000,0.032000,0.027000,0.027000,0.027000,0.029000,0.027000,0.027000,0.026000,0.026000,0.027000,0.027000,0.026000,0.026000,0.027000,0.026000,0.027000,0.028000,0.027000,0.026000,0.026000,0.026000,0.027000,0.028000,0.028000,0.041000,0.029000,0.028000,0.031000,0.027000,0.026000,0.027000,0.027000,0.026000,0.026000,0.027000,0.028000,0.027000,0.034000,0.030000,0.027000,0.028000,0.028000,0.027000,0.027000,0.027000,0.027000,0.027000,0.026000,0.028000,0.027000,0.026000,0.027000,0.026000,0.027000,0.026000,0.027000,0.029000,0.028000,0.025000,0.028000,0.026000,0.027000,0.026000,0.027000,0.027000,0.027000,0.026000,0.026000,0.034000,
0.038000,0.038000,0.062000,0.046000,0.056000,0.060000,0.054000,0.053000,0.051000,0.048000,0.053000,0.051000,0.057000,0.057000,0.061000,0.046000,0.053000,0.056000,0.063000,0.050000,0.055000,0.058000,0.051000,0.051000,0.045000,0.057000,0.049000,0.050000,0.049000,0.053000,0.038000,0.037000,0.037000,0.037000,0.037000,0.037000,0.039000,0.037000,0.036000,0.035000,0.038000,0.036000,0.037000,0.036000,0.038000,0.037000,0.036000,0.037000,0.041000,0.048000,0.046000,0.036000,0.038000,0.036000,0.037000,0.039000,0.037000,0.037000,0.037000,0.035000,0.037000,0.036000,0.042000,0.038000,0.036000,0.036000,0.036000,0.040000,0.038000,0.036000,0.038000,0.037000,0.037000,0.037000,0.037000,0.036000,0.037000,0.036000,0.037000,0.036000,0.036000,0.040000,0.036000,0.037000,0.038000,0.036000,0.036000,0.036000,0.036000,0.037000,0.036000,0.036000,0.035000,0.037000,0.039000,0.038000,0.038000,0.039000,0.036000,0.037000,
0.051000,0.054000,0.049000,0.055000,0.061000,0.096000,0.120000,0.090000,0.069000,0.062000,0.067000,0.060000,0.060000,0.061000,0.058000,0.062000,0.062000,0.061000,0.060000,0.060000,0.060000,0.063000,0.060000,0.058000,0.060000,0.060000,0.063000,0.058000,0.056000,0.064000,0.056000,0.046000,0.046000,0.047000,0.050000,0.049000,0.046000,0.047000,0.046000,0.047000,0.046000,0.047000,0.046000,0.046000,0.047000,0.046000,0.046000,0.049000,0.048000,0.046000,0.047000,0.045000,0.048000,0.045000,0.044000,0.052000,0.047000,0.046000,0.050000,0.046000,0.044000,0.046000,0.046000,0.045000,0.045000,0.045000,0.046000,0.047000,0.058000,0.046000,0.047000,0.046000,0.047000,0.046000,0.047000,0.046000,0.046000,0.046000,0.046000,0.046000,0.045000,0.046000,0.045000,0.053000,0.081000,0.053000,0.049000,0.048000,0.048000,0.063000,0.057000,0.054000,0.060000,0.055000,0.050000,0.055000,0.078000,0.074000,0.051000,0.046000,
0.057000,0.059000,0.070000,0.069000,0.070000,0.068000,0.070000,0.082000,0.096000,0.106000,0.078000,0.088000,0.075000,0.079000,0.072000,0.074000,0.083000,0.075000,0.071000,0.072000,0.071000,0.069000,0.077000,0.072000,0.071000,0.072000,0.072000,0.070000,0.070000,0.073000,0.056000,0.056000,0.057000,0.056000,0.067000,0.056000,0.059000,0.061000,0.058000,0.058000,0.056000,0.061000,0.057000,0.056000,0.068000,0.056000,0.059000,0.057000,0.058000,0.055000,0.057000,0.056000,0.056000,0.055000,0.084000,0.075000,0.059000,0.056000,0.054000,0.055000,0.056000,0.055000,0.057000,0.060000,0.054000,0.055000,0.055000,0.057000,0.055000,0.061000,0.056000,0.059000,0.060000,0.057000,0.055000,0.056000,0.056000,0.065000,0.061000,0.059000,0.055000,0.056000,0.056000,0.055000,0.066000,0.055000,0.065000,0.065000,0.058000,0.055000,0.056000,0.055000,0.055000,0.056000,0.055000,0.055000,0.056000,0.055000,0.055000,0.055000,
0.035000,0.025000,0.036000,0.036000,0.042000,0.034000,0.039000,0.036000,0.034000,0.036000,0.041000,0.037000,0.044000,0.040000,0.039000,0.037000,0.042000,0.035000,0.039000,0.038000,0.042000,0.043000,0.044000,0.035000,0.038000,0.036000,0.035000,0.032000,0.039000,0.035000,0.027000,0.024000,0.036000,0.024000,0.024000,0.021000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.019000,0.021000,0.020000,0.020000,0.021000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.021000,0.020000,0.021000,0.021000,0.021000,0.021000,0.026000,0.027000,0.030000,0.024000,0.026000,0.023000,0.021000,0.021000,0.027000,0.028000,0.031000,0.030000,0.043000,0.029000,0.028000,0.025000,0.020000,0.021000,0.020000,0.020000,0.020000,0.020000,0.021000,0.022000,0.020000,0.021000,0.021000,0.020000,0.021000,0.022000,0.020000,0.021000,0.021000,0.021000,0.024000,0.020000,0.023000,0.022000,0.024000,0.023000,0.026000,
0.036000,0.035000,0.059000,0.050000,0.050000,0.066000,0.057000,0.056000,0.049000,0.053000,0.050000,0.050000,0.049000,0.053000,0.050000,0.046000,0.051000,0.048000,0.055000,0.057000,0.061000,0.048000,0.049000,0.053000,0.054000,0.055000,0.052000,0.052000,0.056000,0.057000,0.038000,0.034000,0.034000,0.033000,0.033000,0.033000,0.033000,0.035000,0.034000,0.034000,0.034000,0.033000,0.033000,0.034000,0.034000,0.035000,0.036000,0.034000,0.036000,0.050000,0.049000,0.033000,0.034000,0.034000,0.033000,0.035000,0.035000,0.034000,0.034000,0.033000,0.033000,0.034000,0.034000,0.034000,0.034000,0.033000,0.032000,0.035000,0.033000,0.033000,0.034000,0.034000,0.034000,0.032000,0.033000,0.033000,0.038000,0.034000,0.033000,0.032000,0.035000,0.034000,0.033000,0.035000,0.033000,0.036000,0.034000,0.034000,0.033000,0.033000,0.035000,0.036000,0.035000,0.037000,0.035000,0.033000,0.033000,0.034000,0.034000,0.035000,
0.057000,0.047000,0.064000,0.064000,0.070000,0.065000,0.060000,0.057000,0.060000,0.061000,0.059000,0.060000,0.061000,0.060000,0.062000,0.064000,0.062000,0.061000,0.060000,0.063000,0.059000,0.065000,0.061000,0.061000,0.061000,0.061000,0.059000,0.068000,0.068000,0.062000,0.047000,0.054000,0.060000,0.050000,0.046000,0.047000,0.046000,0.047000,0.049000,0.046000,0.055000,0.048000,0.047000,0.046000,0.046000,0.049000,0.045000,0.046000,0.049000,0.046000,0.047000,0.047000,0.048000,0.048000,0.053000,0.045000,0.047000,0.052000,0.046000,0.047000,0.049000,0.046000,0.046000,0.047000,0.048000,0.046000,0.046000,0.046000,0.047000,0.047000,0.048000,0.046000,0.047000,0.046000,0.047000,0.046000,0.046000,0.048000,0.046000,0.046000,0.050000,0.054000,0.069000,0.061000,0.053000,0.052000,0.049000,0.055000,0.056000,0.051000,0.049000,0.066000,0.053000,0.058000,0.058000,0.053000,0.047000,0.045000,0.048000,0.046000,
0.069000,0.067000,0.079000,0.075000,0.073000,0.071000,0.073000,0.074000,0.073000,0.072000,0.072000,0.085000,0.079000,0.077000,0.073000,0.074000,0.066000,0.071000,0.081000,0.080000,0.098000,0.083000,0.076000,0.083000,0.082000,0.094000,0.075000,0.074000,0.079000,0.074000,0.059000,0.060000,0.066000,0.059000,0.064000,0.059000,0.058000,0.059000,0.059000,0.059000,0.061000,0.060000,0.074000,0.082000,0.066000,0.086000,0.080000,0.068000,0.087000,0.084000,0.070000,0.092000,0.069000,0.074000,0.087000,0.076000,0.062000,0.087000,0.076000,0.063000,0.070000,0.079000,0.071000,0.089000,0.079000,0.062000,0.060000,0.063000,0.103000,0.076000,0.060000,0.103000,0.060000,0.066000,0.061000,0.063000,0.090000,0.067000,0.084000,0.083000,0.076000,0.098000,0.085000,0.072000,0.086000,0.078000,0.072000,0.105000,0.081000,0.066000,0.086000,0.074000,0.068000,0.069000,0.076000,0.064000,0.063000,0.089000,0.086000,0.063000,
0.083000,0.117000,0.130000,0.141000,0.089000,0.104000,0.105000,0.133000,0.104000,0.100000,0.094000,0.087000,0.084000,0.086000,0.084000,0.086000,0.087000,0.085000,0.082000,0.090000,0.086000,0.088000,0.084000,0.087000,0.085000,0.086000,0.086000,0.087000,0.084000,0.106000,0.075000,0.072000,0.073000,0.085000,0.072000,0.072000,0.071000,0.073000,0.074000,0.077000,0.075000,0.071000,0.071000,0.071000,0.073000,0.072000,0.072000,0.071000,0.072000,0.073000,0.071000,0.077000,0.072000,0.074000,0.073000,0.074000,0.075000,0.070000,0.073000,0.071000,0.071000,0.071000,0.070000,0.071000,0.075000,0.077000,0.073000,0.072000,0.071000,0.070000,0.073000,0.072000,0.071000,0.071000,0.072000,0.072000,0.073000,0.071000,0.101000,0.077000,0.086000,0.086000,0.086000,0.084000,0.081000,0.080000,0.089000,0.146000,0.079000,0.083000,0.071000,0.077000,0.071000,0.072000,0.072000,0.070000,0.072000,0.072000,0.071000,0.072000,
